jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|traffic:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=traffic,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=traffic, 
1036,  2956,  completed,  eof,  2015-03-17 04:11:57,  2015-03-17 04:12:18,  21,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1000,  None,  None,  0.05005,  11,  14,  3,  3.5,  None,  275,  0.05015,  16.9864026613,  25.276134726, 
1036,  2957,  completed,  eof,  2015-03-17 04:11:57,  2015-03-17 04:12:23,  26,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1000,  None,  6.25,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  14.2120888497,  21.1478957415, 
1036,  2966,  completed,  eof,  2015-03-17 04:11:58,  2015-03-17 04:12:15,  17,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1000,  1,  None,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  17.631870379,  26.2366046571, 
1036,  2969,  completed,  eof,  2015-03-17 04:11:58,  2015-03-17 04:12:23,  25,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|traffic:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1000,  None,  None,  0.05005,  11,  14,  3,  None,  272,  275,  0.05015,  16.232483265,  24.1542863503, 
1036,  2970,  completed,  eof,  2015-03-17 04:12:15,  2015-03-17 04:12:34,  19,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1000,  None,  None,  0.0001,  9,  12,  1,  1.0,  None,  28,  0.1,  15.26498346,  22.714625705, 
1036,  2971,  completed,  eof,  2015-03-17 04:12:18,  2015-03-17 04:12:44,  26,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1000,  None,  0.5,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  14.5612079005,  21.6673924435, 
1036,  2972,  completed,  eof,  2015-03-17 04:12:23,  2015-03-17 04:12:39,  16,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1000,  1,  None,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  15.4502847495,  22.9903580335, 
1036,  2973,  completed,  eof,  2015-03-17 04:12:23,  2015-03-17 04:12:37,  14,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|traffic:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1000,  None,  None,  0.0001,  9,  12,  1,  None,  22,  28,  0.1,  16.6333772827,  24.7508253236, 
1036,  2974,  completed,  eof,  2015-03-17 04:12:34,  2015-03-17 04:12:54,  20,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1000,  None,  None,  0.1,  12,  16,  5,  6.0,  None,  521,  0.0003,  16.085278632,  23.9352426711, 
1036,  2975,  completed,  eof,  2015-03-17 04:12:38,  2015-03-17 04:13:03,  25,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1000,  None,  12.0,  0.1,  12,  16,  5,  None,  None,  521,  0.0003,  15.1001230948,  22.4693099141, 
